unique_id,type,group1_id,group2_id,date,description,group1_name,group2_name
1445,riv,143,1,7/7/14,"Asa'ib Ahl al-Haq(AAH) leader Qais Khazali told BBC News that AAH would ""vanquish ISIS."" AAH has been actively fighting with the Iraqi government against the Islamic State (IS) since June 2014. While AAH has been very active against IS in Iraq, there have been no confirmed independent AAH attacks against IS in Syria.",Asa'ib Ahl al-Haq,The Islamic State
553,aff,251,21,1998-09-00,"Abdullah Sungkar, a founder of JI, establishes contact with al-Qaeda's core membership following the fall of the Suharto regime in Indonesia.",Jemaah Islamiyah,Al Qaeda
555,aff,21,363,1996-00-00,"The Haqqani Network, due to their control of much of the FATA-delegated tribal regions in Northwestern Pakistan and the Southeastern parts of Afghanistan, begin to provide safe protection and a location for al-Qaeda operatives (among others) to train and initiate attacks against the West.",Al Qaeda,Haqqani Network
557,all,21,363,1991-00-00,al-Qaeda top military commanders fight alongside Haqqani Network in the battle against the communist government over Khost. The two forces fight alongside again over Najibullah in Kabul (1992).,Al Qaeda,Haqqani Network
639,aff,152,21,2/27/04,"Abu Sayyaf member Redondo Cain Dellosa placed an 8 lb TNT bomb on SuperFerry 14, killing 116 people. ASG received support and training in preparation for the attack from al Qaeda.",Abu Sayyaf Group,Al Qaeda
561,all,21,363,2002-00-00,"Bosnian Authorities raid the offices of Abu Mahmud al-Suri, a co-founder of al-Qaeda, and discover written statements of support for the Sudanese jihad, written to al-Suri by Jalaluddin Haqqani.",Al Qaeda,Haqqani Network
563,aff,21,363,1996-00-00,Haqqani directly hosts Osama bin Laden at his home following the latter\'s expulsion from Sudan to Afghanistan.,Al Qaeda,Haqqani Network
565,aff,217,363,1991-06-00,"Haqqani Commanders support camps for training and and mobilization of Islamist militants in Pakistan, Kashmir, Northwestern China, Tajikistan, Uzbekistan, Southeast Asia and a variety of Arab countries. One of these camps served as the main training camp for Haqqani militants, and was supported by HUJI finances.",Harkat-ul-Jihadi al-Islami,Haqqani Network
567,spl,367,21,2008-08-00,"In Saudi-mediated talks between the Taliban and Afghan government officials, leader Mullah Omar remains adamant that the Taliban has separated itself from al-Qaeda. Rumors of this split had been common for several months.",The Taliban,Al Qaeda
569,aff,367,363,1996-10-00,"The Haqqani Network, at this time, is the premier supplier of potassium chlorate, the main ingredient used in the detonation of Taliban-made bombs.",The Taliban,Haqqani Network
571,aff,363,367,2009-00-00,"A New York Times report, drawing from Counterterrorism Center data, estimates that the Haqqani Network controls between 5,000-10,000 Taliban fighters at any given time.",Haqqani Network,The Taliban
575,aff,105,363,7/7/08,"A suicide car bomb at the entrance to the Indian embassy in Kabul killed 58 people and wounded 141. The Pakistani Taliban (TTP) and Haqqani Network are the suspected groups responsible, with blame also falling on the Pakistani ISI from the United STates.",Tehrik-i-Taliban Pakistan,Haqqani Network
577,aff,367,363,2/11/09,"Taliban militants carried out three separate strikes throughout Kabul, killing 21 and wounding 57. The Taliban claim the attacks were in retaliation for the killing of prisoners in the Pui-I-Charki Prison.",The Taliban,Haqqani Network
579,aff,21,152,1994-00-00,"ASG's founder, Ustadz Abdurajak Janjalani, becomes close friends with Osama bin Laden when the two live together in Peshawar, Pakistan in the 1980s. Janjalani's close friend in ASG, Ramzi Yousef, plans the Bojinka plots, a set of plans to bomb 11 U.S. jetliners and assassinate Pope John Paul in Manila on a planned trip in 1995. The plots were foiled.",Al Qaeda,Abu Sayyaf Group
581,aff,152,251,1/15/02,"JI operative Fathur Rahman Al-Ghozi, known as ‘Mike the Bomb-Maker’ is arrested in Indonesia. He admits to having been involved in the Rizal Day bombings (22 killed, 100+ injured) and that he shared his bomb-making skills with ASG members in the past.",Abu Sayyaf Group,Jemaah Islamiyah
583,aff,21,251,12/24/00,"A series of coordinated church bombings (15+ bombs) throughout Jakarta, Indonesia are claimed by JI and al-Qaeda. 18 people are killed.",Al Qaeda,Jemaah Islamiyah
585,aff,21,251,10/12/02,"Three bombs are detonated by JI operatives, 2 at nightclubs in Kuta and one at the US Consular office. 202 people are killed, between 209-240 are injured. Osama bin Laden releases an audio recording confirming al-Qaeda\'s involvement in the attacks.",Al Qaeda,Jemaah Islamiyah
587,all,21,152,2000-00-00,"ASG militants kidnap an American tourist in Jolo and demand an exchange for US prisoners Sheikh Omar Abdel Rahman and Ramzi Yousef, who were in jail for their involvement in the 1993 World Trade Center bombing (carried out by al-Qaeda).",Al Qaeda,Abu Sayyaf Group
589,aff,385,393,1/1/68,,Movement of 1968,Kommune 1
591,aff,385,357,1/1/68,,Movement of 1968,Red Army Faction (Rote Armee Fraktion)
593,aff,385,389,1/1/68,,Movement of 1968,Tupamaros West-Berlin
595,mer,393,389,7/1/71,,Kommune 1,Tupamaros West-Berlin
597,riv,357,351,1970-00-00,,Red Army Faction (Rote Armee Fraktion),Bewegung 2. Juni/Movement 2 June
599,mer,391,357,1971-00-00,,Socialists' Patients Collective,Red Army Faction (Rote Armee Fraktion)
601,spl,149,599,1984-00-00,"The ABB, an ideologically similar faction within the NPA, began to oppose the NPA\'s strategy of utilizing jungle-based guerrilla tactics. The ABB believed targeting urban centers to be more efficient and broke away from the NPA in 1984, working independently of its parent organization.",Communist Party of the PhilippinesNew People's Army,Alex Boncayao Brigade
609,riv,149,599,1990-00-00,"As of the late 1990s, the ABB\'s tactics became increasingly violent against civilians in Philippine cities. As a result, the NPA began to rival the ABB over disagreements in tactics.",Communist Party of the PhilippinesNew People's Army,Alex Boncayao Brigade
603,spl,379,309,1977-00-00,"The Moro Islamic Liberation Front (MILF) began as the New MNLF, a splinter group of the Moro National Liberation Front (MNLF) that broke away in December 1977. Hashim Salamat, an MNLF co-founder, established the group after failing to take control of the MNLF from fellow co-founder Nur Misuari. The New MNLF renamed itself as the MILF in 1984.",Moro National Liberation Front,Moro Islamic Liberation Front
1551,spl,65,611,2012-12-00,"The Those Who Sign in Blood Brigade formed in December 2012, when Mokhtar Belmokhtar and his soldiers split from Al Qaeda in the Islamic Maghreb (AQIM). Although the groups split due to tensions in the leadership, it is unclear whether Belmokhtar chose to leave or was expelled.  For months prior to the split, the Those Who Sign in Blood Brigade operated semi-autonomously from AQIM.",Al Qaeda in the Islamic Maghreb,The Those Who Sign in Blood Brigade
1553,all,611,21,2012-11-00,"Despite its split from AQIM, the Those Who Signed in Blood Brigade still swore its allegiance to Al Qaeda (AQ) and claimed to act in AQs name.",The Those Who Sign in Blood Brigade,Al Qaeda
1479,riv,13,57,2008-04-00,"Ansar al-Islam used a suicide bomber to attack a Mahdi Army checkpoint in the Diyala province, killing 6 Mahdi Army members.",Ansar al-Islam,Mahdi Army
1477,spl,149,599,1992-00-00,"The Alex Boncayao Brigade (ABB) was first established as the Manila urban guerrilla force of the Communist Party of the PhilippinesNew People's Army (CPP-NPA) in the mid-1980s. Sometime in the early 1990s, the ABB officially split from the CPP-NPA because of ideological and tactical disagreements. The exact year of the ABB's split is unclear.",Communist Party of the PhilippinesNew People's Army,Alex Boncayao Brigade
643,aff,265,21,6/26/95,Osama bin Laden authorized and aided in the planning of al-Jama\'a Al Islamiya\'s attempted assassination of Egyptian President Hosni Mubarak.,Al Jama' Al-Islamiya ,Al Qaeda
611,aff,367,363,6/21/12,"The Haqqani Network reportedly provided militants and soldiers to the Taliban for an attack on a hotel in Kabul. The 12-hour standoff between militants and police involved hostages, and resulted in the deaths of 18 civilians and all 5 attackers.",The Taliban,Haqqani Network
1503,riv,587,395,2007-05-00,"AQKB militants claimed responsibility for a car bomb that was detonated at the Kurdistan Interior and Security Ministries building, killing 19 civilians. The Kurdistan government was led by the KDP and PUK.",Patriotic Union of Kurdistan,Al Qaeda Kurdish Battalions
615,aff,367,363,12/30/09,"A CIA informant ‘double agent’ gained accessed to CIA facilities inside Forward Operating Base Chapman in Khost, then detonated, killing 10 and injuring 6. The Taliban attack was praised by AQ and the TTP. An investigation into the incident concluded that the Haqqani Network actively aided in the attack\'s conduct.",The Taliban,Haqqani Network
617,aff,21,395,2007-03-00,"Al Qaeda announced the creation of its new affiliate group in Iraqi Kurdistan, AQKB, in a video released in March 2007.",Al Qaeda,Al Qaeda Kurdish Battalions
619,aff,265,21,10/25/02,The United Nations designates Jemaah Islamiyah as an organization associated with/aiding the Taliban and/or al Qaeda under Resolution 1267.,Al Jama' Al-Islamiya ,Al Qaeda
621,aff,265,21,10/25/02,The United Nations designates Jemaah Islamiyah as an organization associated with/aiding the Taliban and/or al Qaeda under Resolution 1267.,Al Jama' Al-Islamiya ,Al Qaeda
623,aff,265,21,10/25/02,The United Nations designates Jemaah Islamiyah as an organization associated with/aiding the Taliban and/or al Qaeda under Resolution 1267.,Al Jama' Al-Islamiya ,Al Qaeda
625,aff,265,21,10/25/02,The United Nations designates Jemaah Islamiyah as an organization associated with/aiding the Taliban and/or al Qaeda under Resolution 1267.,Al Jama' Al-Islamiya ,Al Qaeda
633,aff,113,61,10/1/09,"Clashes break out between Hizbul Islam and al-Shabab, both groups fighting for port town of Kismayo. Al-Shabab establishes an administration there and declares war on Hizbul Islam after refusing to accept its authority.",Hizbul Islam ,Al Shabaab
1631,riv,61,109,2008-12-00,"ASWJ unsuccessfully attempted to take control of the Somali town Guriel from Al Shabaab, one of its major rivals.",Al Shabaab,Ahlu Sunna Wal Jama
645,mer,401,21,1998-00-00,"EIJ, led by Ayman al-Zawahiri, merges with al-Qaeda to create ""Qaeda al-Jihad.""",Egyptian Islamic Jihad,Al Qaeda
647,aff,65,21,2006-00-00,"AQIM formally pledged allegiance to Al Qaeda in 2006, changing its name from the Salafist Group for Preaching and Combat (GSPC) to Al Qaeda in the Islamic Maghreb. Relations between AQIM members of GSPC, however, pre-date the 9/11 attacks.",Al Qaeda in the Islamic Maghreb,Al Qaeda
649,all,219,21,2/23/98,"Longtime leader of HuM, Fazlur Rehman Khalil, signed bin Laden\'s fatwa declaring the need for attacks on Western interests.",Harakat-ul-Mujahedeen,Al Qaeda
653,spl,95,219,2000-01-00,"Masood Azhar splits from HuM to found JeM, amidst ethnic disagreement and separation within several ethnic militant organizations.",Jaish-e-Mohammad,Harakat-ul-Mujahedeen
655,riv,95,79,2000-03-00,"JeM is considered a rival of LeT, due to their competition for Pakistani ISI financial and operational support.",Jaish-e-Mohammad,Lashkar-e-Taiba
657,aff,129,21,3/11/04,"Suspected AQ-allied militants from the Salafia Jihadia movement carry out a series of bombings on Spanish trains in Madrid, killing 191 people and wounding 2,050. The bombers are also strong affiliated with GICM.",Moroccan Islamic Combatant Group,Al Qaeda
659,aff,21,105,12/30/09,"Suicide bombing at Camp Chapman, a CIA base in Khost, Afghanistan, leaves 9 dead and 8 wounded. The attack was a joint effort by TTP, AQ, and Afghan Taliban.",Al Qaeda,Tehrik-i-Taliban Pakistan
663,aff,89,87,1967-00-00,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
665,aff,89,87,1967-00-00,"Due to their similar ideologies, The FARC and ELN relationship fluctuates between an alliance and rivalry. However, the net result is an affiliation that includes shared members and tactics. ",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
685,riv,89,119,1991-00-00,"Following the EPL's demobilization, the FARC allied with the dissentient EPL faction and attacked demobilized EPL members for betraying the revolution.",Revolutionary Armed Forces of Colombia - People's Army,Popular Liberation Army
949,riv,147,465,1985-12-00,SSP being an anti Shitte Sunni group developed a natural rivalry with TJP soon after its founding. ,Sipah-e-Sahaba Pakistan ,Tehreek-e-Jafaria Pakistan
951,spl,147,215,1995-00-00,"Scholars dispute the exact date of the formation of Lashkar-e-Jhangvi (LeJ).  Some allege LeJ was formed after the 1990 assassination of the founder of Sipah-e-Sahaba Pakistan (SSP), LeJs parent organization.  That account contends that LeJ remained part of the SSP until 1995, when it formally split to protest an emerging dialogue between the SSP and Shiite parties. Others say LeJ was formed immediately after one of its founders, Riaz Basra, escaped from police custody in 1994.",Sipah-e-Sahaba Pakistan ,Lashkar-e-Jhangvi
683,riv,87,85,1997-04-00,"The AUC, a right wing paramilitary group, was created to combat leftist guerrilla groups, including the ELN. ",National Liberation Army (Colombia),United Self-Defense Forces of Colombia 
687,aff,89,91,1974-00-00,"Former FARC guerilla, notably Jaime Bateman, co-founded the M-19 in 1974.",Revolutionary Armed Forces of Colombia - People's Army,April 19 Movement
1545,spl,13,609,8/29/14,"On August 29, 2014, AI officially merged with the Islamic State (IS). However, AI's Syrian branch rejected the merger and has continued to operate under the name of Ansar al-Islam.",Ansar al-Islam,Ansar al-Islam Syria
691,riv,407,91,1981-12-00,"The MAS was originally created, in retaliation for the kidnapping of Don Fabio's daughter by the M-19.",Muerte a Secuestradores,April 19 Movement
709,spl,87,135,1996-00-00,The ERP was formed by rebels from the Jose Solano Sepulveda Front of the National Liberation Army (ELN),National Liberation Army (Colombia),People's Revolutionary Army (Colombia)
699,riv,407,89,1982-00-00,"Because the FARC actively utilizes kidnapping to maintain its status as a major global cocaine supplier, MAS targets the right-wing guerrilla in order to (among other vested interests) recover its cocaine monopoly in Colombia. ",Muerte a Secuestradores,Revolutionary Armed Forces of Colombia - People's Army
715,spl,87,135,1996-00-00,The ERP was formed by rebels from the Jose Solano Sepulveda Front of the National Liberation Army (ELN),National Liberation Army (Colombia),People's Revolutionary Army (Colombia)
717,riv,89,135,1997-00-00,"The FARC considered the ERP to be an enemy of the state, and took measures to contain the small group. ",Revolutionary Armed Forces of Colombia - People's Army,People's Revolutionary Army (Colombia)
703,riv,407,89,1982-00-00,"Because the FARC actively utilizes kidnapping to maintain its status as a major global cocaine supplier, MAS targets the right-wing guerrilla in order to (among other vested interests) recover its cocaine monopoly in Colombia. ",Muerte a Secuestradores,Revolutionary Armed Forces of Colombia - People's Army
705,riv,407,89,1982-00-00,"MAS was created to attack all leftist guerrilla groups that kidnapped drug lords and large landowners, including the FARC.",Muerte a Secuestradores,Revolutionary Armed Forces of Colombia - People's Army
1541,all,89,607,2006-00-00,BACRIM and the FARC have work together in the drug trade since BACRIM's inception. Additionally BACRIM has reportedly shared militants with the FARC .,Revolutionary Armed Forces of Colombia - People's Army,Bandas Criminales
711,spl,87,135,1996-00-00,The ERP was formed by rebels from the Jose Solano Sepulveda Front of the National Liberation Army (ELN),National Liberation Army (Colombia),People's Revolutionary Army (Colombia)
1543,all,87,607,2006-04-00,"BACRIM's involvement in the drug trade has made its relationship with the ELN one of partnership from the start. Additionally, BACRIM is reliant on the ELN, in addition to the FARC, for Coca Base.",National Liberation Army (Colombia),Bandas Criminales
719,riv,87,85,1997-00-00,"The AUC was created to combat leftist guerrillas, including the ELN, and recently attacked communities with suspected ELN sympathizers.",National Liberation Army (Colombia),United Self-Defense Forces of Colombia 
721,aff,21,409,1998-06-00,Close relations between Osama bin Laden and IMU co-founder Juma Namangani lead to the ideological and operational alliance between al-Qaeda and the IMU.,Al Qaeda,Islamic Movement of Uzbekistan
723,aff,409,367,2001-00-00,"IMU and Taliban militants fight alongside one another against Coalition and ISAF forces, suffering heavy losses.",Islamic Movement of Uzbekistan,The Taliban
725,aff,409,367,2001-10-00,The American invasion of Afghanistan led to the provision of a safe-haven of IMU fighters by Taliban commander Maulvi Nazir. The IMU was able to re-group and operate from South Warziristan from 2001-2007 as a result.,Islamic Movement of Uzbekistan,The Taliban
727,mer,369,403,2003-00-00,In the early 2000s SPIR (and IIPB) was incorporated into the armed forces of the Republic of Ichkeria.,Chechen Republic of Ichkeria,Special Purpose Islamic Regiment
729,mer,369,397,2003-00-00,"In the early 2000s, IIPB and SPIR merged into the armed forces of the Republic of Ichkeria.",Chechen Republic of Ichkeria,International Islamic Peacekeeping Brigade
861,aff,397,21,1998-00-00,"IPB served as the major liaison between Al Qaeda and terrorist organizations in the North Caucasus.  The group\'s co-founder, Ibn Al Khattab, was a Saudi Arabian Al Qaeda member.",International Islamic Peacekeeping Brigade,Al Qaeda
733,all,413,397,1999-00-00,Shamil Basayev was the co-founder of IIPB and the founder of Riyadus-Salikhin. Both groups collaborated on several attacks. They also shared members. ,Riyadus-Salikhin Reconnaissance and Sabotage Brigade,International Islamic Peacekeeping Brigade
735,aff,369,375,2002-00-00,Shariat Jamaat (Dagestan) and the Chechen Republic of Ichkeria were both responsible for attacks against the Russian Federation in the hopes of attaining independence. ,Chechen Republic of Ichkeria,Shariat Jamaat
737,aff,369,373,2000-00-00,Ingush Jamaat (Ingushetia) and the Chechen Republic of Ichkeria were both responsible for attacks against the Russian Federation in the hopes of attaining independence. ,Chechen Republic of Ichkeria,Ingush Jamaat
745,aff,369,371,2002-00-00,Yarmuk Jamaat (Kabardino-Balkaria) and the Chechen Republic of Ichkeria were both responsible for attacks against the Russian Federation in the hopes of attaining independence. ,Chechen Republic of Ichkeria,Yarmuk Jamaat
741,aff,369,375,2002-00-00,Shariat Jamaat (Dagestan) and the Chechen Republic of Ichkeria were both responsible for attacks against the Russian Federation in the hopes of attaining independence. ,Chechen Republic of Ichkeria,Shariat Jamaat
747,mer,413,255,2009-00-00,"In 2009, under Doku Umarov\'s order, the Caucasus Emirate reactivated Riyadus-Salikhin, which displayed little activity after Shamil Basayev\'s (leader and founder) death in 2006.",Riyadus-Salikhin Reconnaissance and Sabotage Brigade,Caucasus Emirate
755,mer,369,255,2007-00-00,"Doku Umarov announced the end of the Chechen Republic of Ichkeria and founded a new umbrella organization, the Caucasus Emirate, to combine all of the terrorist groups in the North Caucasus. ",Chechen Republic of Ichkeria,Caucasus Emirate
751,mer,373,255,2007-00-00,"After the dissolution of the Republic of Ichkeria and the founding of the Caucasus Emirate, the Ingush Jamaat was incorporated into the Caucasus Emirate. ",Ingush Jamaat,Caucasus Emirate
1393,riv,587,25,1993-12-00,"Violent clashes between the PUK and IMK erupted in December 1993 in the Kirkuk and Sulaimaniya provinces, resulting in the withdrawal of the IMK from the region.",Patriotic Union of Kurdistan,Islamic Movement of Kurdistan
917,all,405,57,2009-00-00,"The Mahdi Army and SCIRI worked together in the lead up to the 2010 Iraqi parliamentary elections.  However, the two groups rivalry resumed shortly after the elections.",Supreme Council for Islamic Revolution in Iraq,Mahdi Army
757,mer,255,375,2007-00-00,"After the dissolution of the Republic of Ichkeria and the founding of the Caucasus Emirate, the Shariat Jamaat was incorporated into the Caucasus Emirate. ",Caucasus Emirate,Shariat Jamaat
759,mer,255,371,2007-00-00,"After the dissolution of the Republic of Ichkeria and the founding of the Caucasus Emirate, the Yarmuk Jamaat was incorporated into the Caucasus Emirate. ",Caucasus Emirate,Yarmuk Jamaat
761,mer,255,377,2007-00-00,"After the dissolution of the Republic of Ichkeria and the founding of the Caucasus Emirate, the Liberation Army of Dagestan was incorporated into the Caucasus Emirate. ",Caucasus Emirate,Liberation Army of Dagestan
763,aff,369,377,1999-00-00,Liberation Army of Dagestan and the Chechen Republic of Ichkeria were both responsible for attacks against the Russian Federation in the hopes of attaining independence. ,Chechen Republic of Ichkeria,Liberation Army of Dagestan
765,all,89,87,2015-05-00,"FARC's leader, Timonchenko, said it absolutely necessary for the ELN to join the 2015 peace talks for the sake of peace within the country.",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
865,aff,403,21,1996-00-00,"SPIR received financial assistance from Al Qaeda, like other prominent terrorist groups in the North Caucasus. As a result of Al Qaeda influence, they expanded their mission from establishing an independent Chechnya to creating a North Caucasus Caliphate. ",Special Purpose Islamic Regiment,Al Qaeda
873,mer,255,373,2007-00-00,"Doku Umarov announced the end of the Chechen Republic of Ichkeria and founded a new umbrella organization, the Caucasus Emirate, to combine all of the terrorist groups in the North Caucasus. ",Caucasus Emirate,Ingush Jamaat
859,aff,369,21,1996-00-00,The Republic of Ichkeria became associated with Al Qaeda through several leaders  who participated in Al Qaeda training camps in Afghanistan. These jihadists returned to Chechnya and trained other Chechens to do the same.,Chechen Republic of Ichkeria,Al Qaeda
777,spl,223,417,1998-00-00,"Al-Badr split from Hizb-ul-Mujahideen in 1998. It is thought that the ISI instigated this split in order to separate the more violent al-Badr, made mostly of foreign mercenaries, from Hizbul-ul-Mujahideen.",Hizb-ul-Mujahideen,Al-Badr
819,aff,265,401,1979-00-00,"Al-Jama'a al-Islamiya has extensive relations with the Egyptian Islamic Jihad, dating back to the groups' foundations in after the Muslim Brotherhood renounced violence in Egypt during the 1970s. Al-Jama'a was founded as an umbrella group for what became EIJ, which emerged as a politically active student group in the 1970s and turned to violence in the early 1980s. The two groups worked together in the assassination of Anwar al-Sadat in 1981.",Al Jama' Al-Islamiya ,Egyptian Islamic Jihad
787,all,329,331,1966-00-00,"Tara and the Volunteer Force worked together until 1971. The two groups ended their relationship when Samuel McClelland (UVF), confronted William McGrath (Tara) about his alleged pedophilia and homosexuality.",Tara,Ulster Volunteer Force
791,riv,345,331,1974-05-00,"The UVF\'s Joe Shaw was killed by UDA members in a drunken brawl between the two groups. This skirmish turned into a year-long feud, which included multiple retaliatory attacks.",Ulster Defence Association,Ulster Volunteer Force
811,riv,67,73,1994-07-00,The Islamic Salvation Army (AIS) was created in response to the radical Armed Islamic Group of Algeria (GIA) (targeted civilians). ,Armed Islamic Group of Algeria,Islamic Salvation Army
837,riv,73,67,1995-03-00,Fighting increased between the two groups in 1995 (60 combined deaths in the month of march).,Islamic Salvation Army,Armed Islamic Group of Algeria
797,spl,69,65,2006-09-00,The GSPC began to encompass the ideology of global jihad in addition to their foundational goal of establishing an Islamic state in Algeria. AQIM was formed in September 2006 as part of a merger between the regional GSPC and the broader al-Qaeda movement.,Salafist Group for Preaching and Combat,Al Qaeda in the Islamic Maghreb
813,aff,71,73,1994-07-00,"During the Algerian Civil War, former MIA members joined the Islamic Salvation Army (AIS).",Armed Islamic Movement,Islamic Salvation Army
815,aff,67,427,1993-00-00,Both GIA and OJAL stemmed from the Département du Renseignement et de la Sécurité (DRS). It is believed that both were cover names for the violent actions committed by DRS.,Armed Islamic Group of Algeria,Organization of Young Free Algerians
821,all,61,19,2012-02-00,"In February 2012 Al Shabab spokesman Sheikh Raage made a specific statement that Al Shabab is connected to Al Qaeda in the Arabian Peninsula. We will work with other brothers of AQAP in Yemen, Saudi Arabia and elsewhere in the world and we are part of them. We are the branch of AQAP in Somalia.""",Al Shabaab,Al Qaeda in the Arabian Peninsula
823,aff,363,79,9/29/11,"The Network has been tied to operations with Lashkar-e-Taiba (LeT), a terrorist group also nurtured and reportedly funded by the Pakistan Inter-Service Intelligence agency (ISI). Though direct links between these two groups are not known, it is suspected that the ISI utilizes both groups to carry out terror operations in Afghanistan and Pakistan.",Haqqani Network,Lashkar-e-Taiba
825,aff,251,367,10/25/02,Jemaah Islamiyah was designated by the United Nations to the 1267 Committee\'s list of terrorist organizations linked to the Taliban.,Jemaah Islamiyah,The Taliban
1337,spl,585,577,2001-01-00,"The IUMK fragmented in 2001 when a large number of its members split off with Ali Bapir to form the Kurdistan Islamic Group and with Mullah Krekar to form the Reformist Group. Omar Barziani subsequently re-formed Kurdish Hamas with his followers, leaving Ali Abdul Aziz to re-form the IMK from the remaining members of the IUMK.",The Islamic Unity Movement of Kurdistan,The Reformist Group
831,all,409,105,2008-00-00,The IMU has maintained close ties to Tehreek-e-Taliban in Pakistan (TTP). ,Islamic Movement of Uzbekistan,Tehrik-i-Taliban Pakistan
833,aff,23,21,10/12/00,"AQY was the Yemeni branch of the al-Qaeda franchise, although they were never recognized by al-Qaeda leadership publicly.",Al Qaeda in Yemen,Al Qaeda
1365,mer,593,13,2001-12-00,"In late 2001 Jund al-Islam and the Reformist Group merged to form Ansar al-Islam, which was initially led by Mullah Krekar, the former leader of the Reformist Group.",Jund al-Islam,Ansar al-Islam
1367,mer,577,13,2001-12-00,"In late 2001 Jund al-Islam and the Reformist Group merged to form Ansar al-Islam, which was initially led by Mullah Krekar, the former leader of the Reformist Group.",The Reformist Group,Ansar al-Islam
1369,spl,405,435,2012-00-00,"In 2007, the SCIRI renamed itself the Islamic Supreme Council of Iraq (ISCI), in an attempt to disassociate itself from Tehran. To preserve ties with Iran, the Badr Organization split from the ISCI to form is own political and military unit in 2012.",Supreme Council for Islamic Revolution in Iraq,Badr Organization of Reconstruction and Development
843,aff,65,437,5/26/12,Ansar Dine is reportedly an affiliate of AQIM.  AQIM allegedly wanted to keep the affiliation secret so that Ansar Dine could expand operations without the watchful eye of the media or the international community. ,Al Qaeda in the Islamic Maghreb,Ansar Dine
863,aff,413,21,1999-00-00,"Riyadus-Salikhin had strong relationships with Al Qaeda because Shamil Basayev built a close relationship with an Al-Qaeda member, Ibn Al-Khattab, the co-founder of IIPB. Basayev received training through Al-Qaeda in Afghanistan, where he brought other Chechen recruits to receive the same training.",Riyadus-Salikhin Reconnaissance and Sabotage Brigade,Al Qaeda
847,riv,405,57,2007-08-00,"The Mahdi Army and the SCIRI's armed wing, the Badr Brigades, clashed in August of 2007 in Karbala. Over 50 shiite pilgrims were killed in the battle.",Supreme Council for Islamic Revolution in Iraq,Mahdi Army
871,spl,379,152,1991-00-00,"The Abu Sayyaf Group (ASG) was founded in 1991 by Abdurajak Abubakar Janjalani, a Moro National Liberation Front (MNLF) member who believed in a more radical way of pursuing an independent Islamic state than did the MNLF leadership. Janjalani recruited other disappointed MNLF members into what would become the ASG.",Moro National Liberation Front,Abu Sayyaf Group
853,all,369,397,10/26/02,"The Chechen Republic of Ichkeria, Riyadus-Salikhin, IIPB, and SPIR collaborated to launch an attack on the Moscow Dubrovka Theatre. They held over 800 people hostage and over 130 people were killed.",Chechen Republic of Ichkeria,International Islamic Peacekeeping Brigade
855,all,369,403,10/26/02,"The Chechen Republic of Ichkeria, Riyadus-Salikhin, IIPB, and SPIR collaborated to launch an attack on the Moscow Dubrovka Theatre. They held over 800 people hostage and over 130 people were killed.",Chechen Republic of Ichkeria,Special Purpose Islamic Regiment
857,all,369,413,10/26/02,"The Chechen Republic of Ichkeria, Riyadus-Salikhin, IIPB, and SPIR collaborated to launch an attack on the Moscow Dubrovka Theatre. They held over 800 people hostage and over 130 people were killed.",Chechen Republic of Ichkeria,Riyadus-Salikhin Reconnaissance and Sabotage Brigade
867,aff,255,21,12/27/07,"The Caucasus Emirate receives financial assistance from Al Qaeda, as well as military training. The two groups coordinate training camps in the North Caucasus and Afghanistan. ",Caucasus Emirate,Al Qaeda
869,riv,435,443,2006-00-00,"The Badr Organization, the largest Shiite party in Iraq, opposes the League of the Righteous, a group that split from the Mahdi Army. ",Badr Organization of Reconstruction and Development, League of the Righteous
875,riv,89,87,2000-01-00,"The FARC and ELN battled for local control in contested territory, namely, Antioquia through Choco.",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
877,mer,255,375,2007-00-00,"Doku Umarov announced the end of the Chechen Republic of Ichkeria and founded a new umbrella organization, the Caucasus Emirate, to combine all of the terrorist groups in the North Caucasus. ",Caucasus Emirate,Shariat Jamaat
879,mer,255,371,2007-00-00,"Doku Umarov announced the end of the Chechen Republic of Ichkeria and founded a new umbrella organization, the Caucasus Emirate, to combine all of the terrorist groups in the North Caucasus. ",Caucasus Emirate,Yarmuk Jamaat
881,aff,89,87,2009-00-00,"The FARC and ELN began peace talks about a possible alliance. The two groups had been teaming up against the government until 2009, when they discussed making an official alliance.",Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
883,all,89,87,2009-00-00,The FARC and the ELN proposed an alliance after months jointly targeting the government. ,Revolutionary Armed Forces of Colombia - People's Army,National Liberation Army (Colombia)
885,aff,361,81,2009-00-00,"According to the U.S. government, Kata'ib Hezbollah has received money and weapons from Lebanese Hezbollah.",Kata'ib Hezbollah,Hezbollah
947,riv,147,463,1985-12-00,"SSP, an anti Shitte group, had a rival relationship with TJP, which was created to protect the interests of the Shiite in Pakistan. ",Sipah-e-Sahaba Pakistan ,Tehrik-e-Jafaria
